Date,Actual,Holiday
2011-07-04,642.15,
2011-07-05,435.734,
2011-07-06,591.176,
2011-07-07,484.018,
2011-07-08,483.892,
2011-07-09,46.566,
2011-07-10,5.154,
2011-07-11,548.764,
2011-07-12,477.994,
2011-07-13,593.95,
2011-07-14,498.608,
2011-07-15,508.432,
2011-07-16,61.31,
2011-07-17,5.154,
2011-07-18,644.998,
2011-07-19,520.302,
2011-07-20,614.002,
2011-07-21,461.404,
2011-07-22,481.662,
2011-07-23,63.31,
2011-07-24,3.436,
2011-07-25,670.744,
2011-07-26,615.792,
2011-07-27,564.098,
2011-07-28,494.636,
2011-07-29,485.172,
2011-07-30,0,
2011-07-31,-1,
2011-08-01,622.84,
2011-08-02,393.706,
2011-08-03,475.12,
2011-08-04,494.636,
2011-08-05,454.48,
2011-08-06,70.336,
2011-08-07,6.872,
2011-08-08,593.124,
2011-08-09,481.17,
2011-08-10,470.274,
2011-08-11,608.436,
2011-08-12,503.148,
2011-08-13,58.72,
2011-08-14,20.616,
2011-08-15,650.33,
2011-08-16,564.15,
2011-08-17,512.328,
2011-08-18,469.018,
2011-08-19,517.894,
2011-08-20,73.234,
2011-08-21,5.154,
2011-08-22,746.62,
2011-08-23,536.354,
2011-08-24,594.126,
2011-08-25,555.434,
2011-08-26,567.638,
2011-08-27,57.156,
2011-08-28,0,
2011-08-29,690.354,
2011-08-30,529.042,
2011-08-31,779.158,
2011-09-01,631.946,
2011-09-02,487.376,
2011-09-03,52.976,
2011-09-04,1.718,
2011-09-05,710.664,
2011-09-06,541.02,
2011-09-07,542.866,
2011-09-08,552.356,
2011-09-09,462.864,
2011-09-10,75.464,
2011-09-11,1.718,
2011-09-12,692.538,
2011-09-13,573.306,
2011-09-14,463.632,
2011-09-15,594.666,
2011-09-16,565.306,
2011-09-17,77.516,
2011-09-18,3.436,
2011-09-19,806.954,
2011-09-20,602.716,
2011-09-21,539.97,
2011-09-22,557.33,
2011-09-23,605.13,
2011-09-24,65.464,
2011-09-25,10.308,
2011-09-26,786.106,
2011-09-27,564.48,
2011-09-28,437.17,
2011-09-29,567.126,
2011-09-30,571.61,
2011-10-01,76.464,
2011-10-02,3.436,
2011-10-03,726.999,
2011-10-04,607.662,
2011-10-05,598.517,
2011-10-06,479.359,
2011-10-07,472.719,
2011-10-08,57.713,
2011-10-09,3.436,
2011-10-10,685.758,
